id,course_id,customer_id,status,created_at,description,amount_paid
1,1,26021,FAILED,2023-07-06,,60.0
2,1,68887,PAID,2023-04-05,,60.0
3,1,14066,PAID,2023-10-07,,300.0
4,1,75960,PAID,2023-05-30,,240.0
5,1,7390,FAILED,2023-04-27,,180.0
6,1,75531,FAILED,2023-10-25,,0.0
7,1,40947,REFUNDED,2023-11-10,,210.0
8,1,26718,PAID,2023-01-09,,210.0
9,2,53536,PENDING,2023-09-08,,280.0
10,2,14764,PAID,2023-02-16,,240.0
11,2,30318,PAID,2023-01-12,,0.0
12,2,31210,NOT_PAID,2023-02-28,,400.0
13,2,40865,PAID,2023-06-28,,400.0
14,2,68642,PAID,2023-10-26,,0.0
15,2,8608,FAILED,2023-01-27,,400.0
16,2,8896,NOT_PAID,2023-03-12,,400.0
17,2,69374,PAID,2023-04-29,,240.0
18,2,49539,NOT_PAID,2023-08-22,,280.0
19,3,35764,CANCELED,2023-08-24,,160.0
20,3,19941,PAID,2023-05-30,,200.0
21,3,86989,CANCELED,2023-02-04,,120.0
22,3,18043,FAILED,2023-12-01,,40.0
23,3,72223,PAID,2023-02-10,,200.0
24,3,62732,PAID,2023-12-18,,200.0
25,3,95886,REFUNDED,2023-04-24,,0.0
26,3,47578,PAID,2023-03-02,,140.0
27,3,51414,PAID,2023-10-28,,0.0
28,3,11864,PAID,2023-11-02,,200.0
29,3,20188,CANCELED,2023-06-18,,0.0
30,3,57172,NOT_PAID,2023-02-19,,120.0
31,3,70787,CANCELED,2023-01-31,,120.0
32,3,52520,FAILED,2023-10-05,,40.0
33,3,6634,NOT_PAID,2023-10-11,,200.0
34,3,66302,REFUNDED,2023-12-08,,120.0
35,3,71349,PENDING,2023-08-19,,40.0
36,3,65469,NOT_PAID,2023-08-20,,200.0
37,3,51594,CANCELED,2023-08-06,,200.0
38,3,2394,NOT_PAID,2023-05-12,,200.0
39,4,78002,CANCELED,2023-05-07,,60.0
40,4,25949,NOT_PAID,2023-11-10,,210.0
41,4,72167,FAILED,2023-07-30,,300.0
42,4,93701,PAID,2023-05-10,,300.0
43,4,4981,PAID,2023-01-03,,180.0
44,4,84140,PAID,2023-11-23,,300.0
45,4,27957,PAID,2023-04-16,,240.0
46,4,18120,PAID,2023-06-15,,0.0
47,4,12418,PAID,2023-11-23,,180.0
48,4,63986,PAID,2023-06-17,,180.0
49,4,18920,FAILED,2023-06-30,,60.0
50,4,67208,PAID,2023-11-12,,0.0
51,4,19245,PAID,2023-01-04,,180.0
52,4,92432,PAID,2023-08-04,,240.0
53,4,15688,PAID,2023-03-06,,0.0
54,4,25746,REFUNDED,2023-09-01,,0.0
55,4,75919,FAILED,2023-07-11,,210.0
56,5,92135,NOT_PAID,2023-12-15,,120.0
57,5,79103,PAID,2023-11-17,,420.0
58,5,21047,FAILED,2023-03-05,,0.0
59,5,9863,PAID,2023-04-18,,420.0
60,5,7017,PENDING,2023-11-17,,120.0
61,5,18743,REFUNDED,2023-07-04,,420.0
62,5,66030,FAILED,2023-11-12,,120.0
63,5,13585,NOT_PAID,2023-07-09,,0.0
64,5,95946,FAILED,2023-08-03,,0.0
65,6,44962,CANCELED,2023-04-04,,0.0
66,6,72231,CANCELED,2023-03-30,,210.0
67,6,12783,PAID,2023-10-30,,240.0
68,6,13056,PAID,2023-11-25,,180.0
69,6,61926,PAID,2023-09-24,,0.0
70,6,69273,PAID,2023-10-27,,240.0
71,6,94889,PAID,2023-10-16,,60.0
72,6,96836,REFUNDED,2023-08-13,,60.0
73,6,60668,REFUNDED,2023-02-05,,180.0
74,6,55908,PAID,2023-04-23,,0.0
75,6,22150,FAILED,2023-07-12,,180.0
76,6,88822,PENDING,2023-04-09,,180.0
77,6,33186,REFUNDED,2023-12-29,,300.0
78,7,70171,PENDING,2023-10-19,,210.0
79,7,80450,PAID,2023-02-14,,60.0
80,7,69999,PAID,2023-04-29,,180.0
81,7,1730,NOT_PAID,2023-05-03,,0.0
82,7,65934,PAID,2023-12-21,,300.0
83,7,99458,NOT_PAID,2023-02-11,,180.0
84,7,16977,REFUNDED,2023-05-27,,210.0
85,7,65747,PENDING,2023-07-26,,300.0
86,7,91522,PAID,2023-03-09,,180.0
87,7,73157,REFUNDED,2023-12-17,,180.0
88,7,22511,NOT_PAID,2023-03-10,,60.0
89,7,56874,PAID,2023-07-06,,180.0
90,7,50366,PAID,2023-09-29,,60.0
91,7,42442,PAID,2023-07-17,,0.0
92,7,36745,FAILED,2023-01-18,,300.0
93,7,72680,CANCELED,2023-03-01,,300.0
94,7,2553,PENDING,2023-10-09,,60.0
95,7,82091,PAID,2023-04-12,,180.0
96,8,28958,PENDING,2023-04-17,,600.0
97,8,92488,REFUNDED,2023-08-19,,360.0
98,8,54650,NOT_PAID,2023-03-13,,0.0
99,8,27729,REFUNDED,2023-09-25,,360.0
100,8,56152,CANCELED,2023-09-12,,360.0
